invoice_id,customer_id,invoice_dt,due_dt,amount_usd,status
3bceed16-52ce-4ed4-8199-39eabb708e1f,2fd1b179-7d55-48d0-99fe-e8f443a1507c,2024-01-14,2024-12-02,121.25,Late
8889fa53-b501-4a8d-b0a0-3081bf26cdce,33548ad5-7a13-47dd-a9d9-c1014692570d,2024-08-25,2024-01-18,437.02,Paid
be8a8880-cf79-4b51-ade0-50619932b0ac,51a8ee46-eaba-4307-8d7a-fee843e13cee,2024-05-21,2024-06-03,88.91,Paid
61221f00-366e-4c12-84f7-1cc62e689dbc,6c4e9bc0-3cf9-418c-bf17-b9c58948f818,2024-01-09,2024-06-09,62.68,Paid
33555e2d-98c9-4abf-9319-975483fc1a36,9ed9b365-8ac8-47e1-90ce-4b32a75641d3,2025-08-27,2024-10-21,152.5,Paid
56d87926-85b3-4959-aa8d-60eae03c3efd,fdaded38-09be-49e8-b512-63f039a2f6d9,2025-06-02,2024-11-29,64.3,Paid
9f7d52be-5b2f-405f-8edd-0e857cdb5805,55492eac-ad05-4a5b-bef2-f73768c8cac1,2024-01-25,2024-07-05,80.77,Paid
7e20e499-8399-4c8f-a48a-5c374e86fc78,4da8ccc6-a766-4236-8b33-66b9486f1513,2025-01-23,2025-04-25,119.24,Open
e650c890-6b8c-4f89-b6e6-bf05aa4b7417,e439dcd9-1f71-445e-9e5f-17c19fc7d4cb,2024-07-15,2024-07-17,303.16,Paid
28fc8536-1e97-4493-a6b3-59d33719c6b3,21df4118-2051-4320-9148-200191f8e0a9,2024-03-11,2024-08-19,209.22,Disputed
f25ee8e2-0622-4931-b3ce-75b18529c978,685611a9-8402-488f-b52b-7be77f9ab1d8,2024-06-14,2025-04-15,147.92,Paid
8a7afd94-091c-4aa9-919f-8d902e52505d,f6864491-cae8-4f2a-ae5c-b95a946eff87,2024-01-03,2024-12-14,53.27,Paid
913d76b4-39c3-4fd0-a326-8bc6a37f95ac,4dee01c8-dcf4-4a13-ae96-4790cf0f4b3b,2024-08-08,2024-10-25,21.45,Open
62eca5ab-9595-4288-b8b9-5cd627bf6445,01740d3a-5790-46c3-a9e9-6a2ae2db27c6,2025-01-26,2024-05-23,140.86,Open
06ccf9f8-3132-455f-b235-75ce8bc47abe,3dd47ebc-5105-4730-b643-4e5262ad9243,2024-10-15,2024-08-05,163.84,Late
f68888ea-4c81-42e8-b43e-2ded700954c0,48ecddda-b89e-47d4-994e-d24f3d523cea,2024-03-27,2025-01-08,70.73,Paid
294b6d91-b62f-4cca-b215-2c88a24c2b13,43d70edb-fb7d-4e8f-9568-7ba18c1816a3,2024-05-26,2024-12-13,119.12,Open
266848cc-e5cc-4c68-9a68-20fb0e83e6be,60650f89-c157-4f0f-8113-b5dd059bb9f0,2025-06-17,2025-08-31,338.92,Paid
