respondent_id,submitted_at,city,age,gender,channel,nps,sat_overall,ease_of_use,cs_response_time,feature_importance,open_feedback
fa4a35a2-24d0-448e-bffa-8cb749293903,2025-06-11 04:01:55,Cincinnati,70,Woman,Phone,9,3,4,3,Quality,sed ad consequat ad et eiusmod lorem ullamco consectetur quis amet lorem enim laboris
98d6d549-64db-4949-850e-5411c4464cd2,2025-06-20 19:31:32,Louisville,29,Man,Web,10,3,3,4,Security;Price,ut ad ea ut ut ea enim lorem nostrud ex ullamco commodo aliquip ea
733f4f2d-3895-4f12-86ba-00a2f4c91c88,2025-08-21 10:59:39,Cincinnati,22,Man,Mobile App,8,1,3,3,Support;UI,nostrud amet nisi quis ad ipsum incididunt consectetur veniam lorem minim labore nostrud commodo
edcc06c5-b0ea-4492-a317-2a73a2e08f35,2025-09-06 06:51:53,Columbus,25,Man,In-person,10,4,2,4,Quality,commodo laboris quis nisi dolor lorem sed nisi incididunt ipsum dolore minim magna ullamco
9b7a1e63-fd13-42da-90e1-9671f8da805b,2025-08-21 15:00:25,Cincinnati,26,Man,Mobile App,2,5,4,4,Integrations;Security;Speed,ipsum enim dolore ut dolor consequat ad exercitation minim ipsum eiusmod exercitation amet do
5098636c-4240-4bcf-9c85-b468b9c494c5,2025-08-12 06:09:23,Columbus,28,Man,Mobile App,8,3,3,6,Security;Speed,veniam sed commodo ad ea elit eiusmod quis ullamco sit sed nisi ipsum minim
4a388764-c7f9-492d-8a8a-454d9132109c,2025-08-27 07:51:54,Cleveland,75,Woman,Mobile App,0,3,5,4,Support,ex adipiscing commodo veniam labore ad consectetur magna ex et ut enim dolore nostrud
1fe8694a-ae57-410f-8eda-c60be2e06f07,2025-06-09 08:30:34,Louisville,28,Non-binary,Mobile App,8,5,1,3,Price,enim consectetur ad consequat commodo sed commodo sed ut aliquip nostrud ipsum dolore aliquip
a3727c58-5f10-495b-adbf-d284aabcf3c4,2025-08-06 02:56:46,Cincinnati,46,Man,In-person,7,1,4,5,Support;Integrations,elit sit veniam nisi veniam exercitation enim minim ut laboris ad incididunt tempor quis
9246ea30-95a8-4152-a993-fcd9ecd8e996,2025-06-13 03:00:06,Cleveland,66,Man,Phone,4,4,3,7,Support,ex enim sit quis sit quis ut adipiscing nisi enim et laboris magna laboris
935ae2ae-3c0f-4edf-b119-5065e1f2d629,2025-08-06 19:24:17,Cincinnati,76,Man,In-person,5,5,2,1,Speed;Integrations;Quality,ut commodo dolor ut commodo do enim veniam labore dolor nisi ex aliqua lorem
b457bc86-483e-44f6-8deb-09f96c9e88d1,2025-08-02 06:12:47,Columbus,47,Man,Web,5,2,3,4,Price;Speed;Quality,incididunt dolor magna ea eiusmod ea incididunt ut aliquip nisi labore aliqua ea consectetur
36ef56dd-4e5c-40c7-8c70-be89ed362f02,2025-06-21 01:04:38,Cincinnati,53,Man,Mobile App,10,4,3,5,Price;Security,ullamco ullamco ea minim do aliquip sed incididunt ut et dolor et ut amet
b6bbe953-0b6d-40b0-ae17-6f4bdda50d4d,2025-08-18 09:08:54,Louisville,19,Woman,Web,0,5,2,6,Integrations;Support,tempor ut elit aliqua enim ut ex ipsum veniam do nisi labore exercitation labore
6e0e4607-c63b-4079-96d8-efebf6bf0138,2025-09-08 03:21:03,Columbus,73,Woman,Web,2,5,5,3,Integrations;Security,adipiscing sed elit nisi minim consequat ipsum laboris ea minim aliqua veniam ut quis
c8ea4d60-db6f-4f85-bea8-ff28832c59dd,2025-06-10 04:07:59,Cincinnati,30,Man,Web,2,4,5,3,Speed,sed lorem eiusmod consectetur ad dolor adipiscing do labore nisi ullamco incididunt nostrud sit
