transaction_id,customer_id,transaction_dt,amount,payment_method,status,notes
3c104e50-7e89-4107-b5de-2174ba00a59c,6bbc2830-07c0-4a3b-897e-b984e937586e,2024-10-22 17:44:36,26.96,Credit Card,Settled,dolore quis ea commodo consectetur aliquip incididunt exercitation
98cd914f-2164-4a65-a40f-3f085eff86d5,f71fbea5-d0ed-4ab0-a7df-5f385dec139d,2025-04-21 07:10:33,73.75,Debit Card,Settled,ut do nisi tempor ad consectetur ea consectetur
29f326f0-e3fd-4c85-8537-684e2de8bc4c,0905ec44-1730-40c6-9bb7-49dbf958fbb3,2024-09-02 17:43:38,47.78,Credit Card,Settled,commodo consectetur nisi ea incididunt nisi sit minim
2a2321fc-c23b-46cd-9380-20161e67dd59,d80f536b-6298-493e-acf4-b63ff6382461,2024-06-16 15:14:16,112.28,ACH,Settled,ex tempor dolor elit ipsum eiusmod ut exercitation
6066b009-4898-4844-8389-03b6aba60d03,f848ec25-e6dd-4718-800a-860d9df489dc,2024-11-26 10:24:28,81.99,Credit Card,Settled,sed ea nostrud incididunt sit ut laboris dolore
f53a98db-885e-433a-b3b0-0bd259b901c9,ffb255b5-4421-443c-b879-25221d4d60fd,2024-11-09 20:22:01,11.72,Debit Card,Settled,do exercitation elit adipiscing elit do aliqua tempor
c2c64ab4-004a-4015-bb3c-a77d9283ef63,31b75c07-0b89-400c-8365-0a70e88e2094,2024-11-14 08:36:56,21.59,Credit Card,Settled,labore dolore elit veniam tempor amet ex aliqua
1b8486b6-93ed-4271-b9e7-b226656ffb41,9333f30a-a8a2-472d-b5ec-e403750b9220,2025-03-30 22:06:00,44.89,ACH,Settled,veniam commodo consectetur tempor dolor veniam nostrud laboris
7e0b186b-deee-4e0f-a896-e5966e7e7fb4,e7b787a0-6d12-4b43-a648-3c831fddef2e,2024-08-29 21:15:59,94.69,Debit Card,Settled,et quis aliqua laboris consectetur laboris exercitation dolore
594f32a9-660a-48f8-aaf2-a67822ba3d71,eb894c65-79e6-473d-bb5e-0baaa2fa6d0a,2025-01-25 19:24:29,36.08,Credit Card,Settled,sed dolore ullamco aliqua exercitation eiusmod aliqua quis
cf0a5310-d824-4a5c-bfb9-dc53fb191e73,4b715eaa-be37-4809-9ad4-dac4c1fe950c,2025-06-10 21:21:53,76.61,Debit Card,Settled,quis ad incididunt minim lorem minim aliqua incididunt
0fc24a0f-98ad-4c41-90e3-b286a0313ecd,8efef8ff-1d9a-4d2d-9e1a-061aafa50f2b,2025-05-31 12:42:41,89.79,Credit Card,Settled,labore exercitation minim nostrud lorem elit ex commodo
90157e98-86a5-4174-a7c4-330266b55f90,19cfda8b-0c99-4b51-be3e-5fe40a895812,2024-01-02 00:05:35,63.14,Cash,Declined,ex laboris ut dolore exercitation nisi consequat ea
a2766659-d463-4ac6-b8b9-f42bdf7719fc,b3b83b84-3e18-4cb9-913f-3e6efc694fb0,2025-04-26 09:58:47,119.7,Credit Card,Settled,ipsum adipiscing ut amet dolor sit exercitation ut
baed924d-9bba-422e-a1fd-ac9a2a3b4521,fa07b611-0b88-43ad-90f3-dd10eca76d87,2025-03-08 19:29:46,80.86,Credit Card,Settled,adipiscing nostrud nostrud tempor dolore nisi ad sed
16fc4e78-2496-498d-bbf4-cbe8e87ab9da,61ce2973-7813-424f-879f-7cb49333cfb1,2024-04-11 11:44:47,215.8,Debit Card,Settled,consequat tempor veniam dolore ut magna nisi quis
e6e1d958-856c-4a43-8ed5-8b2f3428b250,d9dff510-9c0e-4437-aa92-ada5d3659f15,2025-01-07 04:26:28,71.07,ACH,Settled,amet commodo et nisi ea lorem elit ad
49845bac-d468-4aa7-8e62-232404c2b849,4ec1fcec-bf78-4ac4-b13e-e0c9fdf2ba15,2025-01-18 19:08:11,13.73,Credit Card,Settled,magna lorem enim exercitation dolore eiusmod sed sit
2af1b6ee-a233-4434-bfc5-19c3e87fd6f7,e6aa792a-1665-4c9a-8bd0-d15573df9a35,2024-01-29 01:43:45,10.66,Credit Card,Settled,laboris sit exercitation labore incididunt elit aliquip eiusmod
